source_file;Project;Test;Result_index;Result;Interval;expected_points;Point No.;Time [min];Temperature [°C];Storage Modulus [Pa];Loss Modulus [Pa];Loss Factor [1];Complex Viscosity [Pa·s];Gap [mm];Normal Force [N];Torque [µN·m];Status;Test Time [s]
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;1;0.167;37.09;0.022517;0.13157;5.84;0.021245;0.102;;0.043648;M-;22.46
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;2;0.333;37.09;0.01064;0.13414;12.6;0.021416;0.102;;0.044009;M-;32.46
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;3;0.5;37.09;0.024928;0.13846;5.55;0.02239;0.102;;0.046033;M-;42.46
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;4;0.667;37.08;0.020372;0.14179;6.96;0.022799;0.102;;0.046894;M-;52.46
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;5;0.833;37.07;1.1955e-05;0.2391;20000.0;0.038054;0.102;;0.07672;M- ,ME-,taD;62.46
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;6;1.0;37.07;0.024217;0.15675;6.47;0.025243;0.102;;0.051887;M-;72.46
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;7;1.17;37.07;0.01657;0.19554;11.8;0.031233;0.102;;0.064199;M-;82.46
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;8;1.33;37.06;0.024983;0.1685;6.74;0.027111;0.102;;0.055699;M-;92.46
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;9;1.5;37.06;0.03768;0.18455;4.9;0.029979;0.102;;0.061588;M-;102.5
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;10;1.67;37.05;0.056444;0.20088;3.56;0.033208;0.102;;0.068154;M-;112.5
